Date,Open,High,Low,Close,Adj Close,Volume
37258,11368.12988,11368.12988,11241.62988,11350.84961,11350.84961,106074600
37259,11348.79981,11447,11348.79981,11423.51953,11423.51953,274626200
37260,11547.00977,11727.80957,11547.00977,11702.15039,11702.15039,362553600
37263,11687.42969,11905.54981,11687.42969,11892.63965,11892.63965,442387000
37264,11781.19043,11806.25,11678.05957,11713.70996,11713.70996,279504600
37265,11711.76953,11783.7002,11369.62988,11440.71973,11440.71973,428711600
37266,11361.08984,11361.08984,11168.88965,11256.07031,11256.07031,354783400
37267,11278.86035,11351.75,11085.46973,11166.45996,11166.45996,316216600
37270,11081.37988,11213.86035,11029.21973,11209.42969,11209.42969,210140000
37271,11071.49023,11071.49023,10965.24023,11013.58984,11013.58984,230468200
37272,11035.49023,11080.54981,10910.75,10964.08984,10964.08984,194573800
37273,10888.11035,11020.20996,10808,11013.83984,11013.83984,221629000
37274,11023.79004,11065.53027,10934.00977,10972.95996,10972.95996,373829400
37277,10967.08984,11083.16992,10941.46973,11000.25,11000.25,213151400
37278,10991.40039,10997.90039,10778.78027,10797.69043,10797.69043,251469600
37279,10750.98047,10793.07031,10689.05957,10762.13965,10762.13965,225157600
37280,10796.80957,10847.53027,10690.62988,10741.45996,10741.45996,199480800
37281,10789,10842.46973,10718.26953,10772.95996,10772.95996,290674000
37284,10749.08008,10891.58984,10748.09961,10767.45996,10767.45996,257612600
37285,10774.61035,11041.82031,10744.13965,11014.24023,11014.24023,378839800
37286,10895.7002,10895.7002,10699.94043,10756.95996,10756.95996,295195000
37287,10797.99023,10953.57031,10671.76953,10725.29981,10725.29981,267648000
37288,10764.03027,10827.38965,10673.66016,10691.25,10691.25,192217000
37291,10680.32031,10806.67969,10661.12988,10721.32031,10721.32031,267871800
37292,10627.84961,10636.23047,10541.28027,10609.19043,10609.19043,292116000
37293,10590.25977,10633.12012,10542.29004,10592.38965,10592.38965,238613600
37294,10556.29004,10601.29981,10393.83008,10409.67969,10409.67969,419402800
37295,10441.19043,10526.75,10421.48047,10518.99023,10518.99023,259185400
37298,10596.05957,10843.25977,10596.05957,10832.74023,10832.74023,184738200
37302,11005.84961,11108.48047,10914.70996,10961.87988,10961.87988,292406600
37305,10905.49023,11007,10867.82031,11002.80957,11002.80957,181042600
37306,10997.90039,10997.90039,10794.2002,10840.49023,10840.49023,167326000
37307,10777.38965,10777.38965,10685.37988,10749.05957,10749.05957,193530200
37308,10807.92969,10871.09961,10732.62988,10788.90039,10788.90039,186403600
37309,10730.20996,10730.20996,10579.80957,10664.94043,10664.94043,155752200
37312,10679,10683.63965,10468.9502,10496.01953,10496.01953,191984600
37313,10581.79004,10667.57031,10536.74023,10547.12988,10547.12988,207615800
37314,10541.19043,10757.11035,10524.76953,10648.70996,10648.70996,268262400
37315,10660.75977,10677.16016,10415.65039,10482.54981,10482.54981,258703600
37316,10453.87988,10473.01953,10387.49023,10425.30957,10425.30957,186683400
37319,10593.76953,10720.12012,10561.37988,10704.12012,10704.12012,279649600
37320,10883.29004,11004.04004,10883.29004,10985.83984,10985.83984,350222000
37321,10954.75,11040.75,10933.42969,11003,11003,270688800
37322,11102.36035,11246.30957,11102.36035,11188.07031,11188.07031,483088000
37323,11201.28027,11331.12012,11201.28027,11233.23047,11233.23047,360931800
37326,11234.53027,11334.30957,11178.67969,11318.87012,11318.87012,264341400
37327,11304.91016,11381.84961,11242.23047,11273.86035,11273.86035,275706800
37328,11214.84961,11306.88965,11185.50977,11217.5,11217.5,239681400
37329,11202.86035,11333.51953,11163.11035,11303.7002,11303.7002,273105400
37330,11280.99023,11363.70996,11150.5,11210.25,11210.25,230450200
37333,11224.32031,11317.75,11168.32031,11230.63965,11230.63965,240821200
37334,11242.25,11302.38965,11195.07031,11222.83008,11222.83008,305416000
37335,11136.29981,11176.58984,10996.36035,11036.59961,11036.59961,254339600
37336,10950.78027,10950.78027,10810.90039,10829.73047,10829.73047,345847200
37337,10839.87012,10919.45996,10811.87988,10863.07031,10863.07031,211526200
37340,10855.23047,10867.01953,10785.62012,10836.63965,10836.63965,201915500
37341,10781.16016,10792.83008,10715.04981,10786.91992,10786.91992,180532500
37342,10819.84961,11022.83008,10819.84961,10987.87988,10987.87988,250625200
37343,11025.03027,11075.40039,10972.11035,11032.91992,11032.91992,214855400
37348,11032.36035,11055.98047,10816.73047,10878.04004,10878.04004,274314600
37349,10831.23047,10853.87988,10783,10833.95996,10833.95996,144433800
37350,10766.55957,10838.21973,10747.99023,10831.37012,10831.37012,170815600
37354,10833.16016,10856.63965,10702.44043,10723.67969,10723.67969,227928200
37355,10711.08008,10791.08984,10688.69043,10733.69043,10733.69043,144606800
37356,10692.9502,10692.9502,10610.75977,10643.13965,10643.13965,201435000
37357,10748.4502,10829.04004,10720.66016,10744.91016,10744.91016,167096400
37358,10653.82031,10717.54981,10630.41016,10710.48047,10710.48047,159124400
37361,10720.41016,10764.48047,10697.46973,10727.98047,10727.98047,139528400
37362,10745.2002,10797.13965,10690.46973,10788.53027,10788.53027,166385800
37363,10938.69043,11090.58008,10929.07031,11090.58008,11090.58008,352621200
37364,11102.67969,11222.38965,11070.79981,11217.15039,11217.15039,347360400
37365,11166.5,11285.04981,11135.04004,11252.17969,11252.17969,322091600
37368,11259.04004,11301.66992,11134.16992,11139.41992,11139.41992,271805600
37369,11102.23047,11355.11035,11102.23047,11345.17969,11345.17969,360996000
37370,11362.65039,11417.46973,11305.65039,11396.57031,11396.57031,301563200
37371,11394.04004,11439.58984,11351.79004,11409.29004,11409.29004,297909600
37372,11449.40039,11461.58984,11348.80957,11385.08008,11385.08008,269871600
37375,11329.91016,11371.12012,11260.87988,11361.49023,11361.49023,204981200
37376,11337.88965,11497.58008,11317.66016,11497.58008,11497.58008,229571000
37378,11577.57031,11800.83008,11577.57031,11780.11035,11780.11035,433590600
37379,11855.90039,11863.62012,11729.84961,11797.21973,11797.21973,450357400
37382,11771.08008,11845.09961,11671.37988,11736.2002,11736.2002,247907400
37383,11639.50977,11813.90039,11591.25977,11795.98047,11795.98047,272450800
37384,11873.25,11890.71973,11699.33008,11768.30957,11768.30957,278468000
37385,11957.16016,11962.09961,11677.54981,11700.75977,11700.75977,336805000
37386,11720.45996,11752.95996,11630.04004,11645.90039,11645.90039,201908000
37389,11653.54981,11772.92969,11650.62012,11733.42969,11733.42969,199682000
37390,11824.92969,11824.92969,11662.00977,11690.30957,11690.30957,163930400
37391,11791.53027,11902.70996,11738.08008,11838.36035,11838.36035,258940000
37392,11838.53027,11839.57031,11762.25,11832.76953,11832.76953,184901800
37393,11924.62012,12021.71973,11867.38965,11974.61035,11974.61035,321247200
37397,11959.65039,12006.91992,11687.26953,11753.29004,11753.29004,307963400
37398,11745.75977,11797.84961,11698.12012,11795.2002,11795.2002,166910400
37399,11754.45996,11761.67969,11586.51953,11624.75,11624.75,313297800
37400,11636.86035,11672.99023,11595.58984,11626.78027,11626.78027,218765400
37403,11608.37988,11612.53027,11526.58984,11564.73047,11564.73047,188013200
37404,11568.74023,11610.96973,11544.09961,11581.58008,11581.58008,135399600
37405,11480.9502,11581.66992,11404.29981,11430.66016,11430.66016,248888600
37406,11413.84961,11413.84961,11268.54004,11380.61035,11380.61035,228221200
37407,11385.19043,11429.05957,11260.2002,11301.94043,11301.94043,302321400
37410,11339.2002,11397.37012,11282.75977,11359.79981,11359.79981,176358600
37411,11279.04981,11317.55957,11204.86035,11312.54981,11312.54981,149651000
37412,11328.51953,11407.58984,11297.95996,11402.37988,11402.37988,141821800
37413,11438.61035,11475.19043,11345.61035,11380.76953,11380.76953,167714400
37414,11274.58984,11325.54004,11236.19043,11284.70996,11284.70996,191775800
37417,11270.09961,11326.42969,11228.99023,11288.83984,11288.83984,148036000
37418,11304.73047,11306.42969,11176,11215.01953,11215.01953,179688800
37419,11167.17969,11167.17969,11117.29981,11147.96973,11147.96973,183371000
37420,11173.76953,11191.49023,11105.40039,11119.33008,11119.33008,161168400
37421,11024.58984,11066.75,10940.23047,10955.51953,10955.51953,196360200
37424,10871.50977,10900.48047,10811.62012,10832.25977,10832.25977,192975200
37425,10963.37012,10983.71973,10838.86035,10852.04004,10852.04004,216380600
37426,10843.00977,10865.04004,10612.03027,10673.11035,10673.11035,310921400
37427,10668.76953,10768.03027,10583.28027,10754.41016,10754.41016,225421000
37428,10608.94043,10639.45996,10574.03027,10591.86035,10591.86035,212587200
37431,10544.4502,10674.51953,10509.23047,10657.33984,10657.33984,190405200
37432,10633.55957,10687.04004,10553.54004,10608.98047,10608.98047,195118400
37433,10493.12988,10493.12988,10291.16016,10355.91992,10355.91992,371785600
37434,10472.84961,10531.50977,10411.15039,10518.08984,10518.08984,269425200
37435,10615.13965,10699.32031,10584.03027,10598.54981,10598.54981,221668200
37439,10511.12012,10511.12012,10436.45996,10491.75977,10491.75977,188748000
37440,10407.58008,10627.07031,10407.58008,10579.19043,10579.19043,198686800
37441,10578.2002,10769.53027,10566.54981,10765.58008,10765.58008,222350200
37442,10810.38965,10845.87988,10754.28027,10806.16016,10806.16016,160907200
37445,10923.5,10939.55957,10766.98047,10803.4502,10803.4502,153657600
37446,10831.12012,10860.63965,10786.37012,10843.15039,10843.15039,124203000
37447,10774.34961,10829.54004,10747.91992,10787.54004,10787.54004,156649400
37448,10637.59961,10655.23047,10482.73047,10558.80957,10558.80957,268957600
37449,10582.57031,10655.28027,10529.91992,10648.29981,10648.29981,207994200
37452,10556.5,10597.34961,10499.09961,10581.66016,10581.66016,126480400
37453,10516.63965,10573.07031,10399.66992,10421.49023,10421.49023,182111800
37454,10336.78027,10362.45996,10213.01953,10335.12012,10335.12012,258112800
37455,10414.58008,10461.33008,10350.25,10452.54981,10452.54981,169213000
37456,10370.82031,10377.40039,10280.45996,10325.45996,10325.45996,186130800
37459,10166.25977,10182.2002,10080.12012,10110.25,10110.25,225025400
37460,9980.290039,10322.49023,9977.769531,10313.88965,10313.88965,256211600
37461,10133.65039,10133.65039,9912.959961,9971.990234,9971.990234,268197600
37462,10143.01953,10165.83008,9872.290039,9884.780273,9884.780273,251086200
37463,9801.589844,9894.639648,9687.5,9773.120117,9773.120117,262142200
37466,9873.44043,9983.040039,9829.549805,9975.990234,9975.990234,170356400
37467,10240.41992,10285.48047,10151.61035,10155.25,10155.25,264124400
37468,10169.28027,10290.07031,10123.2002,10267.36035,10267.36035,161412800
37469,10244.53027,10329.04981,10175.08008,10180.01953,10180.01953,173664400
37470,10026.65039,10058.48047,9968.919922,9991.719727,9991.719727,180663400
37473,9913.080078,9976.69043,9823.950195,9862.330078,9862.330078,187999200
37474,9780.179688,9782.889648,9632.980469,9700.69043,9700.69043,228461400
37475,9883.679688,10007.9502,9851.280273,9977.740234,9977.740234,177157600
37476,9960.679688,9997.179688,9895.280273,9962.240234,9962.240234,159974200
37477,10128.70996,10149.90039,10007.42969,10014.05957,10014.05957,173137800
37480,10039.76953,10039.76953,9929.379883,9959.919922,9959.919922,135721200
37481,9962.580078,10132.40039,9958.05957,10100.05957,10100.05957,150937200
37482,10064.62988,10064.62988,9883.089844,9961.349609,9961.349609,195549600
37483,10123.07031,10264.66016,10123.07031,10219.70996,10219.70996,257063800
37484,10240.59961,10299.71973,10205.51953,10265.04004,10265.04004,211214000
37487,10250.40039,10279.25,10166.54004,10246.95996,10246.95996,126512200
37488,10390.30957,10431.76953,10373.50977,10408.00977,10408.00977,187414000
37489,10317.71973,10409.30957,10293.70996,10402.25977,10402.25977,190580600
37490,10452.5,10456.61035,10367,10424,10424,155805400
37491,10472.7002,10478.65039,10241.17969,10245.69043,10245.69043,167808000
37494,10232.87988,10263.83008,10192.00977,10226.33008,10226.33008,106866600
37495,10233.71973,10266.75977,10125.2002,10185.51953,10185.51953,105858200
37496,10130.37988,10158.69043,10070.28027,10130.25,10130.25,174737600
37497,10034.17969,10075.26953,9988.860352,10061.15039,10061.15039,183778600
37498,10034.21973,10089.69043,10004.87012,10043.87012,10043.87012,164391600
37501,10039.66992,10044.57031,9861.870117,9896.980469,9896.980469,172456200
37502,9862.389648,9873.110352,9748.179688,9790.679688,9790.679688,203358000
37503,9643.19043,9830.450195,9629.219727,9820.330078,9820.330078,247492000
37504,9823.740234,9833.679688,9710.290039,9726.030273,9726.030273,191412400
37505,9650.94043,9750.900391,9631.730469,9720.860352,9720.860352,219272400
37508,9781.540039,9783.44043,9672.19043,9723.669922,9723.669922,165390800
37509,9762.839844,9906.849609,9761.099609,9885.769531,9885.769531,181770400
37510,9927.730469,9946.009766,9845,9882.349609,9882.349609,63873400
37511,9871.320313,9954.820313,9807.540039,9896.330078,9896.330078,170804600
37512,9773.620117,9784,9609.769531,9650.969727,9650.969727,283806000
37515,9624.839844,9639.469727,9454.919922,9505.129883,9505.129883,322838600
37516,9605.320313,9732.330078,9563.19043,9707.25,9707.25,296911600
37517,9517.419922,9517.419922,9401.490234,9474.070313,9474.070313,224988400
37518,9485.549805,9511.290039,9389.870117,9427.790039,9427.790039,186647200
37519,9260.469727,9337.860352,9210.94043,9328.219727,9328.219727,220920600
37522,9295.69043,9322.360352,9219.080078,9314.870117,9314.870117,141863400
37523,9167.759766,9213.280273,9141.120117,9197.679688,9197.679688,173091000
37524,9076.830078,9193.80957,9014.580078,9124.910156,9124.910156,205115200
37525,9251.240234,9286.269531,9206.900391,9270.709961,9270.709961,171300600
37526,9338.660156,9368.139648,9245.879883,9294.459961,9294.459961,207134800
37529,9098.929688,9125.929688,9046.959961,9072.209961,9072.209961,221724000
37531,9227.379883,9241.860352,9062.490234,9109.349609,9109.349609,282008800
37532,9054.570313,9106.900391,8915,8984.320313,8984.320313,263433200
37533,8989.650391,9065.519531,8971.919922,9051.370117,9051.370117,236714600
37536,8844.69043,8936.339844,8844.110352,8931.400391,8931.400391,240968000
37537,8910.080078,8989.679688,8883.160156,8977.410156,8977.410156,247068200
37538,8945.959961,8986.009766,8876.620117,8977.349609,8977.349609,222983800
37539,8808.349609,8863.459961,8772.480469,8858.69043,8858.69043,244729400
37540,8956.330078,8990.759766,8863.459961,8965.730469,8965.730469,221067800
37544,9153.25,9348.679688,9131.410156,9336.389648,9336.389648,403547600
37545,9515.070313,9515.070313,9416.820313,9459.139648,9459.139648,341481400
37546,9465.610352,9598.490234,9465.610352,9576.150391,9576.150391,268242600
37547,9741.049805,9744.639648,9603.730469,9613.070313,9613.070313,426663600
37550,9593.650391,9641.080078,9549.089844,9570.360352,9570.360352,186206800
37551,9633.509766,9656.900391,9507.990234,9548.94043,9548.94043,195717200
37552,9545.660156,9809.509766,9545.660156,9804.650391,9804.650391,398447800
37553,9774.780273,9803.299805,9712.900391,9787.490234,9787.490234,300341400
37554,9715.669922,9728.55957,9655,9722.540039,9722.540039,201148600
37557,9732.599609,9860.870117,9730,9853.740234,9853.740234,208841600
37558,9799.870117,9812.150391,9626.990234,9634.669922,9634.669922,198923400
37559,9605.639648,9652.150391,9546.580078,9560.459961,9560.459961,212661200
37560,9609.160156,9625.719727,9418.879883,9441.25,9441.25,174789400
37561,9467.889648,9495.150391,9388.349609,9407.679688,9407.679688,199148800
37564,9587.969727,9739.129883,9565.790039,9720.830078,9720.830078,213267400
37565,9751.929688,9751.929688,9606.679688,9655.360352,9655.360352,193967000
37566,9788.30957,9822.070313,9751.679688,9773.980469,9773.980469,254543000
37567,9758.660156,9880.129883,9719.639648,9844.379883,9844.379883,335469600
37568,9714.19043,9796.469727,9708.19043,9770.679688,9770.679688,313337800
37571,9699.75,9699.75,9527.830078,9580.879883,9580.879883,264728400
37572,9530.459961,9650.089844,9522.450195,9613.839844,9613.839844,228389400
37573,9645.879883,9645.879883,9533.5,9616.620117,9616.620117,200873600
37574,9644.209961,9806.080078,9644.209961,9740.839844,9740.839844,345678000
37575,9721.860352,9885.980469,9721.860352,9865.650391,9865.650391,424897800
37578,9994.290039,10006.07031,9843.089844,9920.089844,9920.089844,250304400
37579,9882.389648,9996.889648,9856.950195,9965.030273,9965.030273,236917600
37580,9952.450195,10011.53027,9947.540039,9971.150391,9971.150391,189936400
37581,10081.01953,10081.01953,9989.790039,10003.54004,10003.54004,214189400
37582,10112.50977,10128.69043,10038.00977,10065.32031,10065.32031,205486600
37585,10031.33008,10118.87012,10028.98047,10100.76953,10100.76953,246009200
37586,10052.44043,10057.75977,9976.450195,9995.519531,9995.519531,225905200
37587,9912.839844,10013.65039,9912.019531,9944.589844,9944.589844,298967400
37588,10090.42969,10168.91016,10082.69043,10147.83984,10147.83984,417455000
37589,10170.29981,10170.29981,10061.88965,10069.87012,10069.87012,324384000
37592,10107.95996,10205.16016,10079.50977,10205.16016,10205.16016,320709200
37593,10187.84961,10246.86035,10179.63965,10227.00977,10227.00977,288807600
37594,10123.25977,10123.25977,9941.929688,9995.730469,9995.730469,400244000
37595,9997.620117,10036.51953,9940.25,10009.87988,10009.87988,177262400
37596,9940.599609,9978.849609,9890.620117,9973.75,9973.75,201891600
37599,9988.69043,9999.389648,9821.55957,9868.480469,9868.480469,528145400
37600,9763.790039,9868.740234,9763.790039,9857.990234,9857.990234,398318000
37601,9874.929688,9884.160156,9742,9784.570313,9784.570313,304184600
37602,9816.990234,9852.570313,9772.799805,9813.780273,9813.780273,167642000
37603,9743.19043,9754.860352,9695.740234,9728.429688,9728.429688,194733600
37606,9644.639648,9677.849609,9627.709961,9656.459961,9656.459961,150167600
37607,9787.240234,9787.639648,9682.019531,9715.740234,9715.740234,225197800
37608,9652.769531,9657.450195,9527.490234,9548.650391,9548.650391,232401400
37609,9544.900391,9590.209961,9477.820313,9557.860352,9557.860352,263977400
37610,9499.769531,9631.530273,9478.919922,9628.69043,9628.69043,225083200
37613,9640.919922,9640.919922,9552.070313,9570.929688,9570.929688,226114000
37614,9586.259766,9593.929688,9554.30957,9561.629883,9561.629883,103219200
37617,9542.490234,9550.589844,9426.05957,9445.259766,9445.259766,137671200
37620,9345.669922,9362.700195,9244.900391,9272.330078,9272.330078,220730400
37621,9298.780273,9332.019531,9291.769531,9321.290039,9321.290039,76193400
